0.05	-0.46	-0.02	52.89	-6.76	10.65
0.12	-0.50	0.06	52.81	-6.83	10.61
0.14	-0.41	0.10	52.71	-6.90	10.58
0.09	-0.36	0.14	52.57	-6.99	10.56
0.05	-0.32	0.10	52.48	-7.03	10.55
0.11	-0.32	0.10	52.28	-7.11	10.54
0.21	-0.43	0.11	52.08	-7.20	10.52
0.24	-0.39	0.11	51.99	-7.26	10.50
0.25	-0.42	0.14	51.82	-7.36	10.47
0.23	-0.36	0.11	51.64	-7.46	10.40
0.18	-0.43	0.10	51.47	-7.56	10.32
0.30	-0.37	-0.09	51.33	-7.67	10.25
0.33	-0.23	-0.31	51.12	-7.91	10.16
0.23	0.05	-0.20	50.99	-8.11	10.07
0.13	-0.04	-0.05	50.91	-8.24	10.00
0.07	0.18	0.00	50.87	-8.40	9.89
0.03	0.17	0.15	50.83	-8.71	9.74
0.22	0.16	0.09	50.82	-9.30	9.50
0.40	0.16	-0.05	50.83	-9.80	9.35
0.55	-0.11	-0.04	50.91	-10.52	9.10
0.19	0.09	-0.14	51.03	-11.06	8.87
-0.27	0.41	0.29	51.16	-11.55	8.71
-0.39	0.54	0.98	51.21	-12.08	8.65
-0.39	-0.03	1.17	51.13	-13.29	8.51
0.06	0.28	1.48	51.03	-14.67	8.28
-0.03	0.33	1.43	50.98	-17.43	7.92
0.21	0.27	1.00	50.99	-18.27	7.80
0.47	0.04	0.58	51.06	-20.07	7.52
0.16	-0.36	0.18	51.19	-22.24	7.06
0.54	-0.32	-0.07	51.50	-25.88	6.12
0.42	-0.03	-0.37	51.97	-29.66	5.17
-0.17	-0.34	-0.44	52.21	-31.11	4.84
-0.37	-0.13	-0.41	52.65	-33.21	4.32
-0.07	-0.25	-0.54	52.97	-34.53	3.98
-0.13	-0.42	-0.47	53.50	-36.42	3.41
0.06	-0.70	-0.53	53.69	-37.00	3.21
0.15	-0.75	-0.48	54.29	-38.63	2.57
0.93	-1.05	-0.73	54.69	-39.55	2.15
1.16	-1.18	-0.80	55.52	-41.02	1.40
1.27	-0.97	-1.17	55.79	-41.13	1.29
0.79	-1.09	-1.96	55.89	-40.20	1.55
-0.04	-0.46	-1.70	55.71	-38.02	2.20
-0.72	-0.62	-1.18	55.38	-35.00	3.14
-0.91	-0.62	-0.60	55.00	-31.61	4.13
-0.75	-0.26	-2.04	54.54	-27.21	5.33
-1.79	1.07	-1.28	54.32	-23.67	6.27
-1.64	0.82	-0.79	54.13	-17.33	7.88
-1.34	-0.04	-1.84	54.19	-13.48	8.48
-2.00	1.32	-0.06	54.34	-8.78	8.80
-1.83	0.96	1.21	54.45	-5.35	9.19
-1.17	0.66	1.60	54.67	-1.98	9.45
-0.49	0.13	1.37	54.85	0.12	9.43
0.22	-0.16	0.99	55.05	1.29	9.43
0.41	-0.10	0.40	55.32	2.46	9.68
0.55	-0.03	0.08	55.62	3.50	10.04
0.48	0.01	-0.03	56.04	4.95	10.53
0.15	0.00	-0.21	56.46	6.45	10.94
-0.05	-0.03	-0.18	56.95	8.34	11.32
-0.28	-0.17	-0.11	57.26	9.59	11.48
-0.45	-0.09	-0.07	57.72	11.43	11.64
-0.52	-0.06	-0.16	58.18	13.47	11.79
-0.44	-0.07	-0.00	58.40	14.47	11.89
-0.51	-0.03	-0.06	58.47	14.76	11.91
-0.60	0.03	-0.03	58.62	15.47	12.03
-0.62	0.02	-0.02	58.68	15.81	12.11
-0.53	0.23	0.11	58.72	15.97	12.18
-0.41	0.20	0.11	58.76	16.08	12.34
-0.35	0.15	0.04	58.79	15.99	12.52
-0.32	0.18	0.27	58.83	15.72	12.81
-0.19	-0.23	0.41	58.90	15.33	13.09
0.01	-0.32	0.28	58.97	14.85	13.28
0.20	-0.19	-0.08	59.01	14.16	13.56
0.31	-0.23	-0.13	59.05	13.55	13.88
0.20	-0.14	-0.02	59.07	13.03	14.17
0.17	-0.20	0.13	59.12	12.48	14.44
0.18	-0.25	0.16	59.17	12.20	14.55
0.12	-0.25	0.23	59.19	12.11	14.57
0.04	-0.23	0.35	59.24	11.89	14.63
-0.05	-0.12	0.38	59.26	11.82	14.65
0.00	-0.02	0.34	59.29	11.61	14.70
0.09	0.01	0.10	59.31	11.22	14.78
0.22	0.18	-0.00	59.29	10.75	14.84
0.26	0.43	0.11	59.26	10.20	14.93
0.21	0.61	0.25	59.21	9.52	15.06
0.31	0.50	0.07	59.16	8.97	15.15
0.25	0.49	0.06	59.12	8.10	15.21
0.13	0.44	0.12	59.13	7.40	15.26
-0.01	0.46	0.18	59.17	6.83	15.29
0.02	0.43	0.09	59.29	5.74	15.33
-0.06	0.50	-0.00	59.36	5.06	15.34
0.13	0.23	-0.05	59.46	3.60	15.29
0.22	-0.15	-0.25	59.51	2.95	15.25
0.11	-0.26	-0.41	59.63	1.71	15.20
0.06	-0.28	-0.45	59.83	0.62	15.22
